Modified:,2025,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,Reading,,Session,,"“Apaṇṇaka Dhammas,” Don't Hold Back pp. 71–81.",,Qualities for non-decline,,,,,,,,,,,,
1,Read by,,,,,AKd,,,,,,,,,,,,,
1,,,17:30,,"Ajahn Ñāniko asks about an alternate translation for ""apaṇṇaka dhammas"", namely ""a safe bet.""",,,,,,,,,,,,,,
2,Reading,,Session,,[Walking Meditation]().,,Posture/Walking,,,,,,,,,,,,
2,Read by,,,,,AJoti,,,,,,,,,,,,,
3,Reading,,Session,,“The Five Hindrances” from Anthology V1 pp. 35–44.,,,,,,,,,,,,,,
3,Read by,,,,,ANy,,,,,,,,,,,,,
3,,,22:18,,Should we judge the quality of our meditation only by the time we spend in focused concentration?,AJoti;ANy;AKd;AbhSangha,Ajahn Ñāṇadhammo,Meditation/Results,Concentration,,Mindfulness,Right Effort,Investigation of states,Ajahn Sumedho,Hindrances,,,,
3,Reference,,,,[Walking Meditation]().,,,,,,,,,,,,,,
3,Story,,,,Ajahn Tate and the bhavaṅga states.,AJoti;ANy,Ajahn Tate,Wrong concentration,Ajahn Mun,Investigation of states,Mindfulness of body,,,,,,,,
3,Story,,,,Ajahn Khao meditates all night with no awareness.,ANy,Ajahn Khao,Ajahn Mun,Wrong concentration,,,,,,,,,,
4,Reading,,Session,,“Purpose” by [Ajahn Paññāvaḍḍho](teacher:) in Uncommon Wisdom pp. 133-145.,APannavaddho,,,,,,,,,,,,,
4,Read by,,,,,AJivako,,,,,,,,,,,,,
4,,,23:35,,Has anyone had personal experiences of Ajahn Paññāvaḍḍho?,APes,Ajahn Paññāvaḍḍho,,,,Dhamma,Teaching Dhamma,Ajahn Mahā Boowa,Personal presence,Faith,,,,
4,Comment,3,27:38,,You get more of the vibe of Ajahn Paññāvaḍḍho by listening to recordings than reading.,AJivako,Ajahn Paññāvaḍḍho,Teaching Dhamma,Dhamma books,Dhamma recordings,,,,,,,,,
4,Reference,,,,Many [recordings of Ajahn Paññavaḍḍho](https://forestdhamma.org/audio/dhamma-of-ajaan-pannavaddho/) are available on [forestdhamma.org](https://forestdhamma.org).,,,,,,,,,,,,,,
