Modified:,2025,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,Dhamma talk,,Session,,"Ajahn Pasanno reflects at the beginning of the retreat on what is helpful to establish in the mind during a period of formal practice. Drawing on the distinction of wholesome and unwholesome dhammas he brings together the topics of the Five Hindrances, Mindfulness, Clear Comprehension, and the putting forth of effort.",,Right Mindfulness,,,,,,,,,,,,
2,Dhamma talk,,Session,,The attention to bringing the mind to the freeing of the hindrances is essential. Ajahn Pasanno reflects on the Five Hindrances and recalls various metaphors and tools the Buddha suggests for understanding and working with the hindrances.,,Hindrances,,,,,,,,,,,,
3,Dhamma talk,,Session,,"Bringing the theme of the Five Hindrances to focus again, Ajahn Pasanno offers more advice for working with the hindrances and focuses on the positive qualities that we can turn to to enable relinquishing of the hindrances.",,Hindrances,,,,,,,,,,,,
4,Dhamma talk,n,Session,,Beginning with the Buddha’s metaphor of the skilled cook (SN 47.8) who carefully watches what his king prefers in order to gain favor. Ajahn Pasanno relates the importance and methods of relating to the meditation object in the framework of what works and what doesn’t work.,,,,,,,,,,,,,,
5,Dhamma talk,,Session,,"Ajahn Pasanno reflects on the importance of practicing dhamma in accordance with dhamma and how this subtle, but important shift in our intention is a key to right practice.",,Practicing in accordance with Dhamma,,,,,,,,,,,,
5,,,0:12,3:20,"If starting each meditation session with five minutes of skeleton contemplation, do you have any suggestions, advice, cautions?",,Unattractiveness,,,,Disenchantment,,,,,,,,
5,Alternate audio,,,11:45,AP_01_14_2013_Winter_Retreat_QA_1.mp3|https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_14_2013_Winter_Retreat_QA_1.mp3,,,,,,,,,,,,,,
5,Indirect quote,,,,They've brought their own skeleton to the monastery. Why are they shocked by seeing a skeleton in the cupboard?|Ajahn Chah,,Ajahn Chah,Unattractiveness,,,,,,,,,,,
5,,,3:23,,Sometime ill-will is diffuse and all-encompasing. Attempting to do metta when the mind is experiencing this seems to aggravate rather than soothe.,,Ill-will,Goodwill,,,Bhante Gunaratana,Conditionality,Self-identity view,Investigation of states,,,,Goodwill,250P
5,Extra tags,,,,,,,,,,,,,,,,,Ill-will,250T
5,Alternate audio,,,11:45,AP_01_14_2013_Winter_Retreat_QA_1.mp3|https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_14_2013_Winter_Retreat_QA_1.mp3,,,,,,,,,,,,,,
5,Sutta,,,,Snp 1.8: The Metta Sutta ([Chanting Book translation](Chanting Book p. 37)).,,,,,,,,,,,,,,
6,Dhamma talk,,Session,,Ajahn Pasanno explains the Buddha's similes for spreading well-being and awareness throughout the body and describes mindfulness of breathing in terms of inclusive awareness.,,Mindfulness of body,,,,,,,,,,,,
7,Dhamma talk,n,Session,,"To commemorate the Ajahn Chah's 21st death anniversary, Ajahn Pasanno reads three talks on meditation from [Collected Teachings](): “[Tranquility and Insight](Collected Teachings p. 307)”, “[The Path in Harmony](Collected Teachings p. 313)”, and “[The Place of Coolness](Collected Teachings p. 319).”",,,,,,,,,,,,,,
8,Dhamma talk,,Session,,"Reflecting on a question, Ajahn Pasanno talks about the usage of Kor Wat, translated “protocols” or ways of relating to requisites and the community, as a basic tool for training mindfulness and circumspection.",,Protocols,,,,,,,,,,,,
9,Dhamma talk,,Session,,Ajahn Pasanno reflects on the basic teaching of the Four Noble Truths and how investigating and contemplating dukkha enables us to see our habits and conditioning and the obstacles to practice.,,Four Noble Truths,,,,,,,,,,,,
10,,,0:03,13:32,Could you give advice on how to practice Buddhānussati? Are there any suttas useful for working with this theme? ,,Recollection/Buddha,Sutta,,,Learning,Human,,,,,,Recollection/Buddha,200t
10,Reference,,,,"Recollection of the Buddha, Chanting Book p. 4.",,,,,,,,,,,,,,
10,Sutta,,,,MN 11: Cūḷasīhanāda Sutta.,,,,,,,,,,,,,,
10,Sutta,,,,MN 74: Dīghanakha Sutta.,,Views,Great disciples,Upatakh,,,,,,,,,,
10,Sutta,,,,"MN 12.58: ""You might think that the jujube fruit was bigger in those days...""",,Buddha/Biography,Humor,,,,,,,,,,,
10,Sutta,,,,SN 17.5: Dung beetle on a ball of dung.,,Gain and loss,Humor,,,,,,,,,,,
10,,,13:45,20:37,"Can one use the subtle sensations of comfort and discomfort that accompany in and out breathing as a basis for insight? If so, how much thinking/nudging the mind is useful versus simple observation?",,Mindfulness of breathing,Mindfulness of feeling,Insight meditation,Directed thought and evaluation,Impermanence,Not-self,Suffering,Right Effort,,,,Mindfulness of feeling,200
10,,,20:46,,Could you please speak about dhamma-vicaya and how to use it in meditation?,,Investigation of states,,,,Factors of Awakening,Skillful qualities,Unskillful qualities,Characteristics of existence,Appropriate attention,,,Investigation of states,200
10,Extra tags,,,,,,,,,,Dispassion,Aggregates,,,,,,,
11,Reading group,,Session,,,,,,,,,,,,,,,,
